 # iter,        type,        obj(115178),     obj_abs(10413),  obj_cs_dif(15593),  obj_cr_dif(89172),        obj_tele(0),           res(mean/std),       res_abs(mean/std),    res_cs_dif(mean/std),    res_cr_dif(mean/std),      res_tele(mean/std),        step_length,
  111,   relocation,            2.67105,            2.67105,            7.33017,            168.832,                  0,       0.000118/0.039404,       0.000640/0.016003,       0.000000/0.021682,       0.000078/0.043512,                 0.0/0.0,
  112,   relocation,            2.86126,            2.86126,            6.89261,            168.395,                  0,      -0.000305/0.039327,       0.000005/0.016576,       0.000000/0.021025,      -0.000395/0.043454,                 0.0/0.0,
  113,   relocation,            2.58262,            2.58262,            6.73475,            158.894,                  0,      -0.000135/0.038216,       0.000657/0.015735,       0.000000/0.020782,      -0.000252/0.042212,                 0.0/0.0,
  114,   relocation,            2.72821,            2.72821,            6.35924,            158.399,                  0,      -0.000383/0.038131,      -0.000067/0.016186,      -0.000000/0.020195,      -0.000487/0.042144,                 0.0/0.0,
  115,   relocation,            2.30097,            2.30097,            6.20666,            144.584,                  0,      -0.000461/0.036455,       0.000228/0.014863,      -0.000000/0.019951,      -0.000622/0.040262,                 0.0/0.0,
  116,   relocation,            2.31189,            2.31189,            5.83438,            142.441,                  0,      -0.000057/0.036158,       0.000157/0.014899,      -0.000000/0.019343,      -0.000092/0.039967,                 0.0/0.0,
  117,   relocation,            2.20343,            2.20343,            5.72277,            136.525,                  0,      -0.000277/0.035413,       0.000517/0.014537,      -0.000000/0.019157,      -0.000418/0.039126,                 0.0/0.0,
  118,   relocation,            2.19747,            2.19747,             5.4331,            134.186,                  0,      -0.000105/0.035089,       0.000196/0.014526,      -0.000000/0.018666,      -0.000158/0.038791,                 0.0/0.0,
  119,   relocation,            2.08142,            2.08142,            5.25619,            128.493,                  0,      -0.000130/0.034341,       0.000408/0.014132,      -0.000000/0.018360,      -0.000216/0.037959,                 0.0/0.0,
  120,   relocation,            1.99343,            1.99343,            4.96178,            125.462,                  0,       0.000183/0.033906,       0.000604/0.013823,      -0.000000/0.017838,       0.000166/0.037509,                 0.0/0.0,
  121,   relocation,            1.80123,            1.80123,             4.8364,            120.587,                  0,      -0.000323/0.033234,       0.000496/0.013143,      -0.000000/0.017611,      -0.000475/0.036771,                 0.0/0.0,
  122,   relocation,            1.72519,            1.72519,            4.63462,            111.417,                  0,       0.000066/0.031977,       0.000287/0.012868,      -0.000000/0.017240,       0.000052/0.035348,                 0.0/0.0,
  123,   relocation,            1.83981,            1.83981,            4.50333,            111.712,                  0,      -0.000176/0.032015,       0.000349/0.013288,      -0.000000/0.016994,      -0.000268/0.035393,                 0.0/0.0,
  124,   relocation,            1.56381,            1.56381,            4.32383,            103.853,                  0,       0.000029/0.030867,       0.000295/0.012251,      -0.000000/0.016652,       0.000004/0.034127,                 0.0/0.0,
  125,   relocation,            1.68812,            1.68812,            4.06366,            104.914,                  0,      -0.000460/0.030994,       0.000427/0.012725,      -0.000000/0.016143,      -0.000644/0.034295,                 0.0/0.0,
  126,   relocation,             1.3929,             1.3929,            3.93987,            96.4001,                  0,       0.000291/0.029718,       0.000180/0.011564,      -0.000000/0.015896,       0.000355/0.032878,                 0.0/0.0,
  127,   relocation,            1.59049,            1.59049,            3.81304,            98.3512,                  0,      -0.000336/0.030012,       0.000329/0.012354,      -0.000000/0.015638,      -0.000472/0.033207,                 0.0/0.0,
  128,   relocation,            1.37481,            1.37481,             3.7238,            90.9405,                  0,       0.000312/0.028874,       0.000109/0.011490,      -0.000000/0.015454,       0.000391/0.031932,                 0.0/0.0,
  129,   relocation,             1.5446,             1.5446,            3.62117,            89.7103,                  0,      -0.000541/0.028696,       0.000313/0.012175,      -0.000000/0.015239,      -0.000736/0.031710,                 0.0/0.0,
